content,url,category,label
https://coursera.org/status/1941,https://coursera.org/status/1941,safe,0
https://ird.gov.np/receipt/1520,https://ird.gov.np/receipt/1520,safe,0
https://paypal-security.example.ru/login-update/2715?session=92132,https://paypal-security.example.ru/login-update/2715?session=92132,phishing,1
http://bit.ly/login-update364,http://bit.ly/login-update364,phishing,1
https://account-verify-now.test/wallet-kyc/2188?session=94529,https://account-verify-now.test/wallet-kyc/2188?session=94529,phishing,1
http://google-login.example.net/wallet-kyc/2324?session=21362,http://google-login.example.net/wallet-kyc/2324?session=21362,phishing,1
http://np-prize-claim.test/claim-prize/2460?session=22571,http://np-prize-claim.test/claim-prize/2460?session=22571,phishing,1
https://library.example/docs/1733,https://library.example/docs/1733,safe,0
https://coursera.org/status/1513,https://coursera.org/status/1513,safe,0
https://bank-support-update.test/pay-fee/2703?session=53365,https://bank-support-update.test/pay-fee/2703?session=53365,phishing,1
https://company-intranet.example/notice/1770,https://company-intranet.example/notice/1770,safe,0
http://google-login.example.net/wallet-kyc/2579?session=21807,http://google-login.example.net/wallet-kyc/2579?session=21807,phishing,1
https://company-intranet.example/notice/1206,https://company-intranet.example/notice/1206,safe,0
http://bit.ly/wallet-kyc616,http://bit.ly/wallet-kyc616,phishing,1
https://openai.com/status/1747,https://openai.com/status/1747,safe,0
https://company-intranet.example/notice/1557,https://company-intranet.example/notice/1557,safe,0
https://city-services.example/notice/1897,https://city-services.example/notice/1897,safe,0
http://secure-login-check.test/pay-fee/2737?session=67658,http://secure-login-check.test/pay-fee/2737?session=67658,phishing,1
https://library.example/status/1336,https://library.example/status/1336,safe,0
https://openai.com/status/1860,https://openai.com/status/1860,safe,0
https://paypal-security.example.ru/claim-prize/2865?session=27709,https://paypal-security.example.ru/claim-prize/2865?session=27709,phishing,1
http://esewa-bonus-claim.test/verify-account/2899?session=43202,http://esewa-bonus-claim.test/verify-account/2899?session=43202,phishing,1
http://account-verify-now.test/verify-account/2391?session=99922,http://account-verify-now.test/verify-account/2391?session=99922,phishing,1
http://bit.ly/claim-prize623,http://bit.ly/claim-prize623,phishing,1
https://10.8.4.22/claim-prize/2223?session=95332,https://10.8.4.22/claim-prize/2223?session=95332,phishing,1
http://esewa-bonus-claim.test/login-update/2617?session=54742,http://esewa-bonus-claim.test/login-update/2617?session=54742,phishing,1
https://khanacademy.org/status/1584,https://khanacademy.org/status/1584,safe,0
https://secure-login-check.test/pay-fee/2149?session=64592,https://secure-login-check.test/pay-fee/2149?session=64592,phishing,1
https://coursera.org/help/1050,https://coursera.org/help/1050,safe,0
https://paypal-security.example.ru/claim-prize/2018?session=73300,https://paypal-security.example.ru/claim-prize/2018?session=73300,phishing,1
https://hospital.org.np/docs/1326,https://hospital.org.np/docs/1326,safe,0
https://account-verify-now.test/claim-prize/2466?session=71727,https://account-verify-now.test/claim-prize/2466?session=71727,phishing,1
http://10.8.4.22/claim-prize/2467?session=94130,http://10.8.4.22/claim-prize/2467?session=94130,phishing,1
https://10.8.4.22/wallet-kyc/2684?session=51471,https://10.8.4.22/wallet-kyc/2684?session=51471,phishing,1
http://esewa-bonus-claim.test/pay-fee/2698?session=31096,http://esewa-bonus-claim.test/pay-fee/2698?session=31096,phishing,1
https://openai.com/receipt/1517,https://openai.com/receipt/1517,safe,0
https://nrb.org.np/profile/1902,https://nrb.org.np/profile/1902,safe,0
https://paypal-security.example.ru/pay-fee/2051?session=83783,https://paypal-security.example.ru/pay-fee/2051?session=83783,phishing,1
http://10.8.4.22/verify-account/2452?session=48654,http://10.8.4.22/verify-account/2452?session=48654,phishing,1
https://delivery-fee-pay.test/wallet-kyc/2849?session=19351,https://delivery-fee-pay.test/wallet-kyc/2849?session=19351,phishing,1
https://university.edu.np/docs/1659,https://university.edu.np/docs/1659,safe,0
https://paypal-security.example.ru/login-update/2215?session=32216,https://paypal-security.example.ru/login-update/2215?session=32216,phishing,1
http://paypal-security.example.ru/claim-prize/2661?session=51662,http://paypal-security.example.ru/claim-prize/2661?session=51662,phishing,1
https://khanacademy.org/receipt/1098,https://khanacademy.org/receipt/1098,safe,0
https://khanacademy.org/profile/1390,https://khanacademy.org/profile/1390,safe,0
http://bit.ly/login-update546,http://bit.ly/login-update546,phishing,1
https://library.example/docs/1371,https://library.example/docs/1371,safe,0
https://esewa-bonus-claim.test/wallet-kyc/2123?session=60132,https://esewa-bonus-claim.test/wallet-kyc/2123?session=60132,phishing,1
http://bit.ly/verify-account602,http://bit.ly/verify-account602,phishing,1
http://delivery-fee-pay.test/login-update/2545?session=73908,http://delivery-fee-pay.test/login-update/2545?session=73908,phishing,1
https://np-prize-claim.test/pay-fee/2795?session=55544,https://np-prize-claim.test/pay-fee/2795?session=55544,phishing,1
https://nrb.org.np/docs/1813,https://nrb.org.np/docs/1813,safe,0
http://delivery-fee-pay.test/claim-prize/2100?session=44282,http://delivery-fee-pay.test/claim-prize/2100?session=44282,phishing,1
http://paypal-security.example.ru/claim-prize/2426?session=74282,http://paypal-security.example.ru/claim-prize/2426?session=74282,phishing,1
https://city-services.example/receipt/1288,https://city-services.example/receipt/1288,safe,0
https://bank-support-update.test/login-update/2295?session=42447,https://bank-support-update.test/login-update/2295?session=42447,phishing,1
https://nepalbank.com.np/docs/1158,https://nepalbank.com.np/docs/1158,safe,0
https://paypal-security.example.ru/pay-fee/2664?session=22051,https://paypal-security.example.ru/pay-fee/2664?session=22051,phishing,1
https://np-prize-claim.test/verify-account/2879?session=91962,https://np-prize-claim.test/verify-account/2879?session=91962,phishing,1
http://10.8.4.22/claim-prize/2900?session=57241,http://10.8.4.22/claim-prize/2900?session=57241,phishing,1
https://esewa-bonus-claim.test/verify-account/2717?session=87337,https://esewa-bonus-claim.test/verify-account/2717?session=87337,phishing,1
https://coursera.org/status/1656,https://coursera.org/status/1656,safe,0
https://coursera.org/docs/1369,https://coursera.org/docs/1369,safe,0
https://company-intranet.example/notice/1760,https://company-intranet.example/notice/1760,safe,0
https://bank-support-update.test/pay-fee/2247?session=55652,https://bank-support-update.test/pay-fee/2247?session=55652,phishing,1
https://company-intranet.example/receipt/1726,https://company-intranet.example/receipt/1726,safe,0
http://account-verify-now.test/verify-account/2464?session=32391,http://account-verify-now.test/verify-account/2464?session=32391,phishing,1
https://wallet-kyc-alert.test/wallet-kyc/2272?session=28388,https://wallet-kyc-alert.test/wallet-kyc/2272?session=28388,phishing,1
https://university.edu.np/docs/1764,https://university.edu.np/docs/1764,safe,0
https://khanacademy.org/course/1443,https://khanacademy.org/course/1443,safe,0
http://google-login.example.net/login-update/2164?session=12125,http://google-login.example.net/login-update/2164?session=12125,phishing,1
https://bank-support-update.test/verify-account/2607?session=68220,https://bank-support-update.test/verify-account/2607?session=68220,phishing,1
http://bit.ly/login-update812,http://bit.ly/login-update812,phishing,1
https://delivery-fee-pay.test/verify-account/2096?session=97720,https://delivery-fee-pay.test/verify-account/2096?session=97720,phishing,1
https://mozilla.org/help/1809,https://mozilla.org/help/1809,safe,0
https://khanacademy.org/status/1220,https://khanacademy.org/status/1220,safe,0
https://library.example/status/1540,https://library.example/status/1540,safe,0
http://wallet-kyc-alert.test/pay-fee/2195?session=84277,http://wallet-kyc-alert.test/pay-fee/2195?session=84277,phishing,1
http://esewa-bonus-claim.test/pay-fee/2412?session=92674,http://esewa-bonus-claim.test/pay-fee/2412?session=92674,phishing,1
http://192.168.45.12/login-update/2486?session=84264,http://192.168.45.12/login-update/2486?session=84264,phishing,1
https://esewa-bonus-claim.test/pay-fee/2522?session=49121,https://esewa-bonus-claim.test/pay-fee/2522?session=49121,phishing,1
https://github.com/docs/1852,https://github.com/docs/1852,safe,0
http://paypal-security.example.ru/verify-account/2886?session=23405,http://paypal-security.example.ru/verify-account/2886?session=23405,phishing,1
https://university.edu.np/receipt/1750,https://university.edu.np/receipt/1750,safe,0
https://khalti-refund.test/wallet-kyc/2326?session=66280,https://khalti-refund.test/wallet-kyc/2326?session=66280,phishing,1
https://openai.com/profile/1780,https://openai.com/profile/1780,safe,0
https://coursera.org/docs/1748,https://coursera.org/docs/1748,safe,0
https://bank-support-update.test/pay-fee/2159?session=47101,https://bank-support-update.test/pay-fee/2159?session=47101,phishing,1
https://ird.gov.np/course/1319,https://ird.gov.np/course/1319,safe,0
http://account-verify-now.test/pay-fee/2663?session=64516,http://account-verify-now.test/pay-fee/2663?session=64516,phishing,1
http://np-prize-claim.test/claim-prize/2643?session=18130,http://np-prize-claim.test/claim-prize/2643?session=18130,phishing,1
https://university.edu.np/docs/1878,https://university.edu.np/docs/1878,safe,0
https://delivery-fee-pay.test/verify-account/2249?session=15856,https://delivery-fee-pay.test/verify-account/2249?session=15856,phishing,1
